CountyFIPS,CountyName,StateAbbr,DIABETES_AdjPrev,BENE_GEO_CD,BENE_GEO_DESC,TOT_MDCR_STDZD_PYMT_PC,BENES_OM_CNT
40061,Haskell,OK,12.4,40061,OK-Haskell,14150.26,1851.0
17097,Lake,IL,9.8,17097,IL-Lake,12394.39,71683.0
20005,Atchison,KS,10.0,20005,KS-Atchison,11722.11,2325.0
02020,Anchorage,AK,8.8,02020,AK-Anchorage,9192.93,37223.0
40133,Seminole,OK,13.7,40133,OK-Seminole,14770.81,2784.0
54057,Mineral,WV,11.7,54057,WV-Mineral,12132.2,4364.0
27013,Blue Earth,MN,10.0,27013,MN-Blue Earth,11512.96,6463.0
31019,Buffalo,NE,9.1,31019,NE-Buffalo,11490.4,5810.0
51003,Albemarle,VA,8.7,51003,VA-Albemarle,9799.62,16971.0
48211,Hemphill,TX,9.7,48211,TX-Hemphill,11748.77,486.0
29205,Shelby,MO,11.5,29205,MO-Shelby,11729.62,1125.0
29033,Carroll,MO,10.6,29033,MO-Carroll,13476.09,1403.0
47045,Dyer,TN,12.6,47045,TN-Dyer,12479.83,4210.0
46099,Minnehaha,SD,10.0,46099,SD-Minnehaha,10666.37,20372.0
19037,Chickasaw,IA,9.5,19037,IA-Chickasaw,11515.56,2148.0
36099,Seneca,NY,9.1,36099,NY-Seneca,10299.71,2826.0
27043,Faribault,MN,9.7,27043,MN-Faribault,11086.97,1984.0
31125,Nance,NE,9.8,31125,NE-Nance,12266.27,657.0
39099,Mahoning,OH,11.8,39099,OH-Mahoning,11801.3,18718.0
28017,Chickasaw,MS,15.7,28017,MS-Chickasaw,12421.42,2215.0
17065,Hamilton,IL,10.7,17065,IL-Hamilton,10990.17,1334.0
48175,Goliad,TX,11.6,48175,TX-Goliad,12222.48,943.0
28133,Sunflower,MS,18.3,28133,MS-Sunflower,15477.79,2301.0
12087,Monroe,FL,9.7,12087,FL-Monroe,11508.04,12828.0
48441,Taylor,TX,11.3,48441,TX-Taylor,13940.22,14037.0
27107,Norman,MN,9.6,27107,MN-Norman,12840.3,907.0
47067,Hancock,TN,15.6,47067,TN-Hancock,11212.99,605.0
05053,Grant,AR,9.8,05053,AR-Grant,11044.52,2262.0
51143,Pittsylvania,VA,13.0,51143,VA-Pittsylvania,10199.61,8417.0
35049,Santa Fe,NM,9.3,35049,NM-Santa Fe,8385.26,22876.0
23023,Sagadahoc,ME,8.0,23023,ME-Sagadahoc,9004.71,4005.0
22107,Tensas,LA,18.1,22107,LA-Tensas,12302.02,546.0
55011,Buffalo,WI,9.4,55011,WI-Buffalo,10032.56,2101.0
18123,Perry,IN,11.1,18123,IN-Perry,12926.31,2606.0
45047,Greenwood,SC,13.0,45047,SC-Greenwood,11490.11,8622.0
04009,Graham,AZ,10.9,04009,AZ-Graham,9588.91,2490.0
45037,Edgefield,SC,13.6,45037,SC-Edgefield,11228.75,3061.0
54031,Hardy,WV,14.2,54031,WV-Hardy,9985.54,1998.0
39129,Pickaway,OH,11.1,39129,OH-Pickaway,11878.4,4092.0
39173,Wood,OH,10.2,39173,OH-Wood,10553.89,11606.0
28103,Noxubee,MS,18.0,28103,MS-Noxubee,13653.66,1256.0
38079,Rolette,ND,16.5,38079,ND-Rolette,12012.61,1654.0
30067,Park,MT,7.9,30067,MT-Park,9424.95,3545.0
49001,Beaver,UT,8.9,49001,UT-Beaver,9628.76,1126.0
39055,Geauga,OH,9.3,39055,OH-Geauga,10419.61,10302.0
33003,Carroll,NH,7.0,33003,NH-Carroll,9494.65,11142.0
38007,Billings,ND,9.2,38007,ND-Billings,6729.25,120.0
13183,Long,GA,13.0,13183,GA-Long,10311.44,884.0
29149,Oregon,MO,12.5,29149,MO-Oregon,10414.2,1271.0
12053,Hernando,FL,11.2,12053,FL-Hernando,14257.46,19339.0
31147,Richardson,NE,10.2,31147,NE-Richardson,12684.8,1894.0
51113,Madison,VA,10.2,51113,VA-Madison,8781.37,2307.0
26009,Antrim,MI,8.8,26009,MI-Antrim,9921.78,3213.0
19111,Lee,IA,10.0,19111,IA-Lee,10807.31,6571.0
20039,Decatur,KS,9.4,20039,KS-Decatur,13354.77,710.0
51570,Colonial Heights,VA,10.5,51570,VA-Colonial Heights City,12744.31,2502.0
12023,Columbia,FL,12.4,12023,FL-Columbia,11847.39,8026.0
17063,Grundy,IL,9.1,17063,IL-Grundy,12611.79,6320.0
08009,Baca,CO,10.0,08009,CO-Baca,14454.49,830.0
37015,Bertie,NC,14.9,37015,NC-Bertie,12114.06,2515.0
20007,Barber,KS,10.0,20007,KS-Barber,13818.04,1016.0
36021,Columbia,NY,8.5,36021,NY-Columbia,9946.38,8605.0
26165,Wexford,MI,10.3,26165,MI-Wexford,9405.03,3337.0
